403 Forbidden! User role: JOB_SEEKER, Allowed roles: HR,ADMIN,COMPANY_ADMIN,SUPER_ADMIN, URL: /api/interviews/02212ca9-21a2-46a2-8ad2-1782d6747ea1/round-status
403 Forbidden! User role: JOB_SEEKER, Allowed roles: HR,ADMIN,COMPANY_ADMIN,SUPER_ADMIN, URL: /api/applications/02212ca9-21a2-46a2-8ad2-1782d6747ea1/status
403 Forbidden! User role: JOB_SEEKER, Allowed roles: HR,ADMIN,COMPANY_ADMIN,SUPER_ADMIN, URL: /api/applications/02212ca9-21a2-46a2-8ad2-1782d6747ea1/status
403 Forbidden! User role: COMPANY_ADMIN, Allowed roles: HR, URL: /api/applications/hr/all
403 Forbidden! User role: COMPANY_ADMIN, Allowed roles: HR, URL: /api/applications/hr/all
403 Forbidden! User role: HR, Allowed roles: COMPANY_ADMIN, URL: /api/dashboard/company-admin
403 Forbidden! User role: HR, Allowed roles: COMPANY_ADMIN, URL: /api/dashboard/company-admin
403 Forbidden! User role: HR, Allowed roles: COMPANY_ADMIN, URL: /api/dashboard/company-admin
403 Forbidden! User role: HR, Allowed roles: COMPANY_ADMIN, URL: /api/dashboard/company-admin
403 Forbidden! User role: HR, Allowed roles: COMPANY_ADMIN, URL: /api/dashboard/company-admin
403 Forbidden! User role: HR, Allowed roles: COMPANY_ADMIN, URL: /api/dashboard/company-admin
403 Forbidden! User role: HR, Allowed roles: COMPANY_ADMIN, URL: /api/hrs
403 Forbidden! User role: HR, Allowed roles: COMPANY_ADMIN, URL: /api/hrs
403 Forbidden! User role: HR, Allowed roles: COMPANY_ADMIN, URL: /api/dashboard/company-admin
403 Forbidden! User role: HR, Allowed roles: COMPANY_ADMIN, URL: /api/dashboard/company-admin
403 Forbidden! User role: HR, Allowed roles: COMPANY_ADMIN, URL: /api/dashboard/company-admin
403 Forbidden! User role: HR, Allowed roles: COMPANY_ADMIN, URL: /api/dashboard/company-admin
403 Forbidden! User role: JOB_SEEKER, Allowed roles: HR, URL: /api/dashboard/hr
403 Forbidden! User role: JOB_SEEKER, Allowed roles: HR, URL: /api/dashboard/hr
403 Forbidden! User role: COMPANY_ADMIN, Allowed roles: HR, URL: /api/dashboard/hr
403 Forbidden! User role: COMPANY_ADMIN, Allowed roles: HR, URL: /api/dashboard/hr
403 Forbidden! User role: COMPANY_ADMIN, Allowed roles: JOB_SEEKER, URL: /api/applications/my-applications
403 Forbidden! User role: COMPANY_ADMIN, Allowed roles: JOB_SEEKER, URL: /api/applications/my-applications
403 Forbidden! User role: COMPANY_ADMIN, Allowed roles: JOB_SEEKER, URL: /api/follows/my-companies
403 Forbidden! User role: COMPANY_ADMIN, Allowed roles: JOB_SEEKER, URL: /api/follows/my-companies
403 Forbidden! User role: COMPANY_ADMIN, Allowed roles: JOB_SEEKER, URL: /api/applications/my-applications
403 Forbidden! User role: COMPANY_ADMIN, Allowed roles: JOB_SEEKER, URL: /api/applications/my-applications
403 Forbidden! User role: JOB_SEEKER, Allowed roles: HR, URL: /api/dashboard/hr
403 Forbidden! User role: JOB_SEEKER, Allowed roles: COMPANY_ADMIN, URL: /api/hrs
403 Forbidden! User role: JOB_SEEKER, Allowed roles: COMPANY_ADMIN, URL: /api/hrs
403 Forbidden! User role: JOB_SEEKER, Allowed roles: COMPANY_ADMIN, URL: /api/dashboard/company-admin
403 Forbidden! User role: JOB_SEEKER, Allowed roles: COMPANY_ADMIN, URL: /api/dashboard/company-admin
403 Forbidden! User role: JOB_SEEKER, Allowed roles: COMPANY_ADMIN, URL: /api/dashboard/company-admin
403 Forbidden! User role: JOB_SEEKER, Allowed roles: COMPANY_ADMIN, URL: /api/dashboard/company-admin
403 Forbidden! User role: JOB_SEEKER, Allowed roles: HR, URL: /api/dashboard/hr
403 Forbidden! User role: JOB_SEEKER, Allowed roles: HR, URL: /api/dashboard/hr
403 Forbidden! User role: JOB_SEEKER, Allowed roles: HR, URL: /api/applications/hr/all
403 Forbidden! User role: JOB_SEEKER, Allowed roles: HR, URL: /api/applications/hr/all
403 Forbidden! User role: JOB_SEEKER, Allowed roles: HR, URL: /api/dashboard/hr
403 Forbidden! User role: JOB_SEEKER, Allowed roles: HR, URL: /api/dashboard/hr
403 Forbidden! User role: JOB_SEEKER, Allowed roles: HR, URL: /api/dashboard/hr
403 Forbidden! User role: JOB_SEEKER, Allowed roles: HR, URL: /api/dashboard/hr
403 Forbidden! User role: COMPANY_ADMIN, Allowed roles: JOB_SEEKER, URL: /api/follows/my-companies
403 Forbidden! User role: COMPANY_ADMIN, Allowed roles: JOB_SEEKER, URL: /api/follows/my-companies
403 Forbidden! User role: COMPANY_ADMIN, Allowed roles: JOB_SEEKER, URL: /api/applications/my-applications
403 Forbidden! User role: COMPANY_ADMIN, Allowed roles: JOB_SEEKER, URL: /api/applications/my-applications
403 Forbidden! User role: COMPANY_ADMIN, Allowed roles: JOB_SEEKER, URL: /api/applications/my-applications
403 Forbidden! User role: COMPANY_ADMIN, Allowed roles: JOB_SEEKER, URL: /api/applications/my-applications
403 Forbidden! User role: COMPANY_ADMIN, Allowed roles: JOB_SEEKER, URL: /api/applications/my-applications
403 Forbidden! User role: COMPANY_ADMIN, Allowed roles: JOB_SEEKER, URL: /api/applications/my-applications
